Date,From time,To time,Condition
2/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
2/2/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
2/2/2015,11:30,23:30,Outage of Generating Unit SER CCP3 on 02 Feb 2015 at 1131Hrs was without Final Approval/Consent.
2/2/2015,13:30,14:00,High-Risk state commence at 13:31Hrs on 02 Feb 2015. There is Primary Reserve Shortfall.
2/2/2015,14:00,14:30,Emergency Operating State commence at 14:01Hrs on 02 Feb 2015. There is Primary Reserve Shortfall.
2/2/2015,14:30,23:30,Outage of Generating Unit KMC BLK3 on 02 Feb 2015 at 1431Hrs was without Final Approval/Consent.
3/2/2015,00:00,17:30,Planned outage of remaining SPPG-TNB interconnection on 01 Feb 2015 at 0837Hrs.
3/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
3/2/2015,00:00,02:30,Outage of Generating Unit KMC BLK3 on 02 Feb 2015 at 1431Hrs was without Final Approval/Consent.
3/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
3/2/2015,00:00,23:30,Outage of Generating Unit SER CCP3 on 02 Feb 2015 at 1131Hrs was without Final Approval/Consent.
3/2/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
3/2/2015,04:00,23:30,Outage of Woodlands Ave 8 I 230/66kV transformer No. 3 on 03 Feb 2015 at 0428Hrs was without Final Approval/Consent.
3/2/2015,13:30,14:00,High-Risk Operating State commence at 13:31Hrs on 03 Feb 2015. There is Primary Reserve Shortfall.
3/2/2015,14:00,14:30,Emergency Operating State commence at 14:01Hrs on 03 Feb 2015. There is Primary Reserve Shortfall.
3/2/2015,17:30,23:30,Planned outage of the remaining SPPG-TNB interconnector No.2 on 03 Feb 2015 at 1731Hrs.
4/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
4/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
4/2/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
4/2/2015,00:00,08:00,Planned outage of the remaining SPPG-TNB interconnector No.2 on 03 Feb 2015 at 1731Hrs.
4/2/2015,00:00,23:30,Outage of Generating Unit SER CCP3 on 02 Feb 2015 at 1131Hrs was without Final Approval/Consent.
4/2/2015,08:00,17:00,Planned outage of remaining SPPG-TNB interconnection No.2 on 04 Feb 2015 at 0801Hrs.
4/2/2015,09:00,09:30,SPPG-TNB interconnection No.2 resynchronised on 04 Feb 2015 at 0907Hrs.
4/2/2015,22:30,23:30,Outage of Generating Unit INC SNK GENR1 on 04 Feb 2014 at 2245Hrs was without Final Approval/Consent.
5/2/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
5/2/2015,00:00,23:30,Outage of Generating Unit SER CCP3 on 02 Feb 2015 at 1131Hrs was without Final Approval/Consent.
5/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
5/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
5/2/2015,00:00,23:30,Outage of Generating Unit INC SNK GENR1 on 04 Feb 2014 at 2245Hrs was without Final Approval/Consent.
5/2/2015,19:00,20:00,Fuel changeover test of Generating Unit SER CCP1 was carried out and completed on 05 Feb 2015 at the following timing. Gas to Gas : From 1905Hrs - 1911Hrs. Gas to Gas : From 1955Hrs - 2000Hrs.
5/2/2015,19:00,20:00,Fuel changeover test of Generating Unit SER CCP1 is anticipated to carry out on 05 Feb 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 1931Hrs.
5/2/2015,21:00,21:30,Outage of Senoko C/Tampines 230kV Feeder No. 1 on 05 Feb 2015 at 2107Hrs was without Final Approval/Consent.
5/2/2015,23:30,23:30,Outage of Generating Unit INC SNKO GENR1 on 05 Feb 2015 at 2331Hrs was without Final Approval/Consent.
6/2/2015,00:00,23:30,Outage of Generating Unit INC SNKO GENR1 on 05 Feb 2015 at 2331Hrs was without Final Approval/Consent.
6/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
6/2/2015,00:00,23:30,Outage of Generating Unit SER CCP3 on 02 Feb 2015 at 1131Hrs was without Final Approval/Consent.
6/2/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
6/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
6/2/2015,03:00,03:30,Forced outage of generating unit SHUL G1 at 47MW on 06 Feb 2015 at 03:09Hrs. 
6/2/2015,18:00,19:00,Fuel changeover test of Generating Unit KMC G2-GT12 was carried out and completed on 06 Feb 2015 at the following timing. Gas to Diesel : From 1806Hrs - 1809Hrs. Diesel to Gas : From 1845Hrs - 1849Hrs.
6/2/2015,18:00,19:00,Fuel changeover test of Generating Unit KMC G2-GT12 is anticipated to carry out on 06 Feb 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1831Hrs.
7/2/2015,00:00,23:30,Outage of Generating Unit INC SNKO GENR1 on 05 Feb 2015 at 2331Hrs was without Final Approval/Consent.
7/2/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
7/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
7/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
7/2/2015,03:00,23:30,Outage of Generating Unit SHUL G1 on 07 Feb 2015 at 0301Hrs was without Final Approval/Consent.
8/2/2015,00:00,23:30,Outage of Generating Unit SHUL G1 on 07 Feb 2015 at 0301Hrs was without Final Approval/Consent.
8/2/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
8/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
8/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
8/2/2015,00:00,23:30,Outage of Generating Unit INC SNKO GENR1 on 05 Feb 2015 at 2331Hrs was without Final Approval/Consent.
9/2/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
9/2/2015,00:00,23:30,Outage of Generating Unit SHUL G1 on 07 Feb 2015 at 0301Hrs was without Final Approval/Consent.
9/2/2015,00:00,23:30,Outage of Generating Unit INC SNKO GENR1 on 05 Feb 2015 at 2331Hrs was without Final Approval/Consent.
9/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
9/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
9/2/2015,09:30,13:00,SPPG maintenance work on their 66kV SLNG Feeder No.1 to SLNG terminal has completed on 09 Feb 2015 at 1251Hrs. SLNG terminal is back to normal operating mode.
9/2/2015,10:00,16:00,SPPG will be carrying out maintenance work on their 66kV SLNG Feeder No.1 to SLNG terminal on 09 Feb 2015 from 1000Hrs to 1600Hrs. SLNG terminal will be in single point failure mode.
10/2/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
10/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
10/2/2015,00:00,23:30,Outage of Generating Unit INC SNKO GENR1 on 05 Feb 2015 at 2331Hrs was without Final Approval/Consent.
10/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
10/2/2015,00:00,23:30,Outage of Generating Unit SHUL G1 on 07 Feb 2015 at 0301Hrs was without Final Approval/Consent.
10/2/2015,10:00,16:00,SPPG will be carrying out maintenance work on their 66kV SLNG Feeder No.2 to SLNG terminal on 10 Feb 2015 from 1000Hrs to 1600Hrs. SLNG terminal will be in single point failure mode.
10/2/2015,10:00,16:00,SPPG maintenance work on their 66kV SLNG Feeder No.2 to SLNG terminal has completed on 10 Feb 2015 at 1303Hrs. 
10/2/2015,10:30,11:00,Outage of Senoko SwitchHouse 'C' 230kV CB4-152 and CB4-252 on 10 Feb 2015 at 1045Hrs was without Final Approval/Consent.
11/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
11/2/2015,00:00,23:30,Outage of Generating Unit SHUL G1 on 07 Feb 2015 at 0301Hrs was without Final Approval/Consent.
11/2/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
11/2/2015,00:00,23:30,Outage of Generating Unit INC SNKO GENR1 on 05 Feb 2015 at 2331Hrs was without Final Approval/Consent.
11/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
11/2/2015,15:00,16:30,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 was carried out on 11 Feb 2015 from 1510Hrs to 1610Hrs.
11/2/2015,15:00,16:30,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 is anticipated to carry out on 11 Feb 2015 from 1505Hrs to 1605Hrs.
11/2/2015,17:30,19:00,Fuel changeover test of Generating Unit KMC BLK4 was carried out and completed on 11 Feb 2015 at the following timing. Gas to Diesel : From 1741Hrs - 1751Hrs. Diesel to Gas : From 1825Hrs - 1833Hrs.
11/2/2015,17:30,18:30,Fuel changeover test of Generating Unit KMC BLK4 is anticipated to carry out on 11 Feb 2015 at the following timing. Gas to Diesel : At about 1731Hrs. Diesel to Gas : At about 1801Hrs.
12/2/2015,00:00,23:30,Outage of Generating Unit SHUL G1 on 07 Feb 2015 at 0301Hrs was without Final Approval/Consent.
12/2/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
12/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
12/2/2015,00:00,23:30,Outage of Generating Unit INC SNKO GENR1 on 05 Feb 2015 at 2331Hrs was without Final Approval/Consent.
12/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
12/2/2015,10:00,10:30,Outage of Jalan Bahar 66kV Bus Coupler No.2
12/2/2015,17:00,17:30,Outage of TMUC / Banyan Drive 66kV Feeder No. 2 on 12 Feb 2015 at 1716Hrs was without Final Approval/Consent.
13/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
13/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
13/2/2015,00:00,04:00,Outage of Generating Unit SHUL G1 on 07 Feb 2015 at 0301Hrs was without Final Approval/Consent.
13/2/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
13/2/2015,06:30,17:30,Fuel changeover test of Generating Unit TUAS CCP2 was carried out and completed on 13 Feb 2015 at the following timing. Gas to Diesel : From 0631Hrs - 0634Hrs. Diesel to Gas : From 1705Hrs - 1709Hrs.
13/2/2015,06:30,17:30,Fuel changeover test of Generating Unit TUAS CCP2 is anticipated to carry out on 13 Feb 2015 at the following timing. Gas to Diesel : At about 0631Hrs. Diesel to Gas : At about 1701Hrs.
13/2/2015,08:30,17:00,ConocoPhillips Onshore Receiving Facility (ORF) will be carrying out maintenance work on 13 Feb 2015 from 0900Hrs to 1700Hrs. ConocoPhillips ORF will be in single point of failure mode. 
13/2/2015,08:30,17:00,ConocoPhillips Onshore Receiving Facility (ORF) maintenance work has completed on 13 Feb 2015 at 15:06Hrs. ConocoPhillips ORF is back to normal operating mode. 
13/2/2015,18:00,18:30,Outage of Marina Centre 66/22kV transformer No. 1 on 13 Feb 2015 at 1823 Hrs was without Final Approval/Consent.
14/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
14/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
15/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
15/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
16/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
16/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
16/2/2015,02:30,03:00,Forced outage of generating unit KMCBLK4 at 313MW on 16 Feb 2015 at 02:41Hrs. 
16/2/2015,09:00,09:30,High-Risk Operating State commence at 09:01Hrs on 16 Feb 2015. There is a Contingency Reserve Shortfall.
16/2/2015,11:30,12:00,Forced outage of generating unit ENV : TUASSTH : GENR1 at 16MW on 16 Feb 2015 at 11:52Hrs. 
17/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
17/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
18/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
18/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
19/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
19/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
19/2/2015,09:00,23:30,Outage of Generating Unit TUAS CCP5 on 19 Feb 2015 at 0915Hrs was without Final Approval/Consent.
19/2/2015,10:00,10:30,Forced outage of generating unit ENV : TUAS : GENR1 at 7MW on 19 Feb 2015 at 10:25Hrs. 
19/2/2015,19:00,19:30,Forced outage of generating unit ENV : TUAS : GENR1 at 8.2MW on 19 Feb 2015 at 19:26Hrs.
20/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
20/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
20/2/2015,00:00,23:30,Outage of Generating Unit TUAS CCP5 on 19 Feb 2015 at 0915Hrs was without Final Approval/Consent.
20/2/2015,05:30,06:00,Forced outage of generating unit SERCCP2 at 264MW on 20 Feb 2015 at 05:36Hrs. 
20/2/2015,10:30,11:00,High-Risk Operating State commence at 10:31Hrs on 20 Feb 2015. There is a Contingency Reserve Shortfall.
20/2/2015,11:00,11:30,Emergency State commence at 11:01Hrs on 20 Feb 2015. There is a Contingency Reserve Shortfall.
20/2/2015,11:30,23:30,Outage of Generating Unit SER CCP2 on 20 Feb 2015 at 1131Hrs was without Final Approval/Consent.
21/2/2015,00:00,23:30,Outage of Generating Unit SER CCP2 on 20 Feb 2015 at 1131Hrs was without Final Approval/Consent.
