Date,Temp Forecast (C) ,Day of Week,Holiday,Peak,Shoulder,Off Peak
20/12/2019,25.33,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
21/12/2019,25.28,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
22/12/2019,24.75,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
23/12/2019,25.14,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
24/12/2019,25.13,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
25/12/2019,24.85,Wednesday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
26/12/2019,24.31,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
27/12/2019,24.35,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
28/12/2019,24.54,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
29/12/2019,24.78,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
30/12/2019,24.7,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
31/12/2019,24.57,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
