Date,From time,To time,Name,Latitude,Longitude,Condition
3/11/2019,0:00,23:30,Tuaspring ,1.301691,103.623691,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
3/11/2019,0:00,23:30,Tuaspring ,1.301691,103.623691,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
3/11/2019,0:00,23:30,Singapore Refining Company ,1.290862,103.712448,Outage of Pulau Seraya 400kV - CB3-252 & CB3-352 on 02 Nov 2019 at 2011Hrs was without Final Approval/Consent.
3/11/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Outage of Generating Unit SERCCP2 on 02 Nov 2019 at 1801Hrs was without Final Approval/Consent.
3/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit SKRA G1 - GASTUR11 on 03 Nov 2019 at 0001Hrs was without Final Approval/Consent.
4/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit SERCCP2 on 04 Nov 2019 at 0001Hrs was without Final Approval/Consent.
4/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
4/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
4/11/2019,0:00,23:30,TP Utilities ,1.266428,103.672143,Outage of Generating Unit SKRA G1 - GASTUR11 on 03 Nov 2019 at 0001Hrs was without Final Approval/Consent.
4/11/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
4/11/2019,8:30,23:30,Tuas Power Generation ,1.287521,103.640834,Medco (WNTS) ORF has completed the maintenance work on 04 Nov 2019 at 17:00 Hrs for the day.  Medco (WNTS) ORF is back to normal operating mode.
4/11/2019,8:30,9:00,Senoko Energy ,1.464911,103.798805,High-Risk Operating State commence at 08:31Hrs on 04 Nov 2019. There is a Contingency Reserve Shortfall.
4/11/2019,9:00,9:30,YTL PowerSeraya ,1.280212,103.719584,Normal Operating State.
4/11/2019,9:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Medco (WNTS) ORF will be carrying out maintenance work on 04 Nov 2019 to 08 Nov 2019 daily from 0900Hrs to 1700Hrs. Medco (WNTS) will be in single point failure mode during these periods. Please be on alert and standby.
4/11/2019,9:30,10:00,YTL PowerSeraya ,1.280212,103.719584,High-Risk Operating State commence at 09:31Hrs on 04 Nov 2019. There is a Contingency Reserve Shortfall.
4/11/2019,10:00,10:30,Senoko Energy ,1.464911,103.798805,Normal Operating State.
4/11/2019,13:30,14:00,ExxonMobil Asia Pacific ,1.26834,103.693372,Forced outage of generating unit EXON GA at 34MW on 04 Nov 2019 at 13:49Hrs. 
4/11/2019,19:30,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit JUR GT2 on 04 Nov 2019 at 1931Hrs was without Final Approval/Consent.
5/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit JUR GT2 on 04 Nov 2019 at 1931Hrs was without Final Approval/Consent.
5/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Medco (WNTS) ORF will be carrying out maintenance work on 04 Nov 2019 to 08 Nov 2019 daily from 0900Hrs to 1700Hrs. Medco (WNTS) will be in single point failure mode during these periods. Please be on alert and standby.
5/11/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Medco (WNTS) ORF has completed the maintenance work on 04 Nov 2019 at 17:00 Hrs for the day.  Medco (WNTS) ORF is back to normal operating mode.
5/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit SKRA G1 - GASTUR11 on 03 Nov 2019 at 0001Hrs was without Final Approval/Consent.
5/11/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
5/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
5/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
5/11/2019,8:30,17:00,ExxonMobil Asia Pacific ,1.26834,103.693372,Medco (WNTS) ORF has completed the maintenance work on 05 Nov 2019 at 1653 Hrs for the day.  Medco (WNTS) ORF is back to normal operating mode.
5/11/2019,9:30,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit EXON GA on 05 Nov 2019 at 0930Hrs was without Final Approval/Consent.
5/11/2019,14:00,15:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 1 is anticipated to carry out on 05 Nov 2019 from 1410Hrs to 1510Hrs.
5/11/2019,14:00,15:30,PacificLight Power ,1.286848,103.722708,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 1 was carried out on 05 Nov 2019 from 1401Hrs to 1501Hrs.
6/11/2019,0:00,23:30,Keppel Merlimau Cogen ,1.282498,103.675245,Outage of Generating Unit EXON GA on 05 Nov 2019 at 0930Hrs was without Final Approval/Consent.
6/11/2019,0:00,23:30,Keppel Merlimau Cogen ,1.282498,103.675245,Medco (WNTS) ORF has completed the maintenance work on 04 Nov 2019 at 17:00 Hrs for the day.  Medco (WNTS) ORF is back to normal operating mode.
6/11/2019,0:00,23:30,Tuas Power Generation ,1.287521,103.640834,Outage of Generating Unit JUR GT2 on 04 Nov 2019 at 1931Hrs was without Final Approval/Consent.
6/11/2019,0:00,23:30,Shell Eastern Petroleum ,1.228974,103.767913,Medco (WNTS) ORF will be carrying out maintenance work on 04 Nov 2019 to 08 Nov 2019 daily from 0900Hrs to 1700Hrs. Medco (WNTS) will be in single point failure mode during these periods. Please be on alert and standby.
6/11/2019,0:00,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Outage of Generating Unit SKRA G1 - GASTUR11 on 03 Nov 2019 at 0001Hrs was without Final Approval/Consent.
6/11/2019,0:00,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
6/11/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
6/11/2019,0:00,23:30,SembCorp Cogen ,1.256499,103.701611,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
6/11/2019,8:30,17:00,SembCorp Cogen ,1.256499,103.701611,Medco (WNTS) ORF has completed the maintenance work on 06 Nov 2019 at 1705 hrs for the day.  Medco (WNTS) ORF is back to normal operating mode.
6/11/2019,17:00,18:30,Tuaspring ,1.301691,103.623691,Fuel changeover test of Generating Unit SNKCCP4 was carried out and completed on 06 Nov 2019 at the following timing. Gas to Diesel : From 1803Hrs - 1811Hrs. Diesel to Gas : From 1846Hrs - 1854Hrs.
6/11/2019,17:00,18:30,Tuaspring ,1.301691,103.623691,Fuel changeover test of Generating Unit SNKCCP4 is anticipated to carry out on 06 Nov 2019 at the following timing. Gas to Diesel : At about 1701Hrs. Diesel to Gas : At about 1801Hrs.
6/11/2019,17:00,17:30,Singapore Refining Company ,1.290862,103.712448,High-Risk Operating State commence at 17:01Hrs on 06 Nov 2019. There is a Contingency Reserve Shortfall.
6/11/2019,17:30,18:00,TuasOne ,1.308372,103.631444,Normal Operating State
7/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit EXON GA on 05 Nov 2019 at 0930Hrs was without Final Approval/Consent.
7/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Medco (WNTS) ORF will be carrying out maintenance work on 04 Nov 2019 to 08 Nov 2019 daily from 0900Hrs to 1700Hrs. Medco (WNTS) will be in single point failure mode during these periods. Please be on alert and standby.
7/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Generating Unit JUR GT2 on 04 Nov 2019 at 1931Hrs was without Final Approval/Consent.
7/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
7/11/2019,0:00,23:30,TP Utilities ,1.266428,103.672143,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
7/11/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
7/11/2019,0:00,23:30,Tuas Power Generation ,1.287521,103.640834,Outage of Generating Unit SKRA G1 - GASTUR11 on 03 Nov 2019 at 0001Hrs was without Final Approval/Consent.
7/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Medco (WNTS) ORF has completed the maintenance work on 04 Nov 2019 at 17:00 Hrs for the day.  Medco (WNTS) ORF is back to normal operating mode.
7/11/2019,8:30,17:30,YTL PowerSeraya ,1.280212,103.719584,Medco (WNTS) ORF has completed the maintenance work on 07 Nov 2019 at 1730 hrs for the day.  Medco (WNTS) ORF is back to normal operating mode.
7/11/2019,10:30,11:00,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Forced outage of generating unit TUASCCP4 at 345MW on 07 Nov 2019 at 10:33Hrs. 
7/11/2019,10:30,11:00,YTL PowerSeraya ,1.280212,103.719584,Activate scheduled contingency reserve from Load Facilities. Must deliver within 10 Minutes.
7/11/2019,11:00,11:30,Senoko Energy ,1.464911,103.798805,High-Risk Operating State commence at 11:01Hrs on 07 Nov 2019. There is a Contingency Reserve Shortfall.
7/11/2019,11:30,12:00,ExxonMobil Asia Pacific ,1.26834,103.693372,Load interrupted can be restored with immediate effect.
7/11/2019,11:30,12:00,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Emergency Operating State commence at 11:31Hrs on 07 Nov 2019. There is a Contingency Reserve Shortfall.
7/11/2019,14:00,15:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 was carried out on 07 Nov 2019 from 1401Hrs to 1502Hrs.
7/11/2019,14:00,15:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 is anticipated to carry out on 07 Nov 2019 from 1410Hrs to 1510Hrs.
7/11/2019,18:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Outage of Sakra 230kV - Jurong Island 230kV Feeder 2 on 07 Nov 2019 at 1801Hrs was without Final Approval/Consent.
8/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
8/11/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
8/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Generating Unit SKRA G1 - GASTUR11 on 03 Nov 2019 at 0001Hrs was without Final Approval/Consent.
8/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Sakra 230kV - Jurong Island 230kV Feeder 2 on 07 Nov 2019 at 1801Hrs was without Final Approval/Consent.
8/11/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Outage of Generating Unit JUR GT2 on 04 Nov 2019 at 1931Hrs was without Final Approval/Consent.
8/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit EXON GA on 05 Nov 2019 at 0930Hrs was without Final Approval/Consent.
8/11/2019,0:00,17:00,ExxonMobil Asia Pacific ,1.26834,103.693372,Medco (WNTS) ORF will be carrying out maintenance work on 04 Nov 2019 to 08 Nov 2019 daily from 0900Hrs to 1700Hrs. Medco (WNTS) will be in single point failure mode during these periods. Please be on alert and standby.
8/11/2019,0:00,17:00,PacificLight Power ,1.286848,103.722708,Medco (WNTS) ORF has completed the maintenance work on 04 Nov 2019 at 17:00 Hrs for the day.  Medco (WNTS) ORF is back to normal operating mode.
8/11/2019,0:00,23:30,Keppel Merlimau Cogen ,1.282498,103.675245,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
8/11/2019,8:30,9:00,Keppel Merlimau Cogen ,1.282498,103.675245,High-Risk Operating State commence at 08:31Hrs on 08 Nov 2019. There is a Contingency Reserve Shortfall.
8/11/2019,9:00,23:30,Tuas Power Generation ,1.287521,103.640834,Outage of Generating Unit TUASCCP4 on 08 Nov 2019 at 0900Hrs was without Final Approval/Consent.
8/11/2019,9:00,9:30,Shell Eastern Petroleum ,1.228974,103.767913,Emergency Operating State commence at 09:01Hrs on 08 Nov 2019. There is a Contingency Reserve Shortfall.
8/11/2019,14:30,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Outage of Tuas 400kV - CB8-252 & CB8-352 on 08 Nov 2019 at 1435Hrs was without Final Approval/Consent.
9/11/2019,0:00,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
9/11/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Outage of Generating Unit JUR GT2 on 04 Nov 2019 at 1931Hrs was without Final Approval/Consent.
9/11/2019,0:00,23:30,SembCorp Cogen ,1.256499,103.701611,Outage of Generating Unit EXON GA on 05 Nov 2019 at 0930Hrs was without Final Approval/Consent.
9/11/2019,0:00,23:30,SembCorp Cogen ,1.256499,103.701611,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
9/11/2019,0:00,23:30,Tuaspring ,1.301691,103.623691,Outage of Sakra 230kV - Jurong Island 230kV Feeder 2 on 07 Nov 2019 at 1801Hrs was without Final Approval/Consent.
9/11/2019,0:00,23:30,Tuaspring ,1.301691,103.623691,Outage of Generating Unit TUASCCP4 on 08 Nov 2019 at 0900Hrs was without Final Approval/Consent.
9/11/2019,0:00,23:30,Singapore Refining Company ,1.290862,103.712448,Outage of Tuas 400kV - CB8-252 & CB8-352 on 08 Nov 2019 at 1435Hrs was without Final Approval/Consent.
9/11/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
9/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit SKRA G1 - GASTUR11 on 09 Nov 2019 at 0001Hrs was without Final Approval.
9/11/2019,10:30,11:00,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,High-Risk Operating State commence at 10:31Hrs on 09 Nov 2019. There is a Contingency Reserve Shortfall.
9/11/2019,11:00,11:30,Senoko Energy ,1.464911,103.798805,Emergency Operating State commence at 11:01Hrs on 09 Nov 2019. There is a
9/11/2019,12:00,12:30,Senoko Energy ,1.464911,103.798805,High-Risk Operating State commence at 12:01Hrs on 09 Nov 2019. There is a Contingency Reserve Shortfall.
9/11/2019,12:30,13:00,TP Utilities ,1.266428,103.672143,Normal operating State.
10/11/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
10/11/2019,0:00,23:30,Tuas Power Generation ,1.287521,103.640834,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
10/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
10/11/2019,0:00,23:30,YTL PowerSeraya ,1.280212,103.719584,Outage of Generating Unit SKRA G1 - GASTUR11 on 09 Nov 2019 at 0001Hrs was without Final Approval.
10/11/2019,0:00,18:00,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Tuas 400kV - CB8-252 & CB8-352 on 08 Nov 2019 at 1435Hrs was without Final Approval/Consent.
10/11/2019,0:00,23:30,YTL PowerSeraya ,1.280212,103.719584,Outage of Generating Unit TUASCCP4 on 08 Nov 2019 at 0900Hrs was without Final Approval/Consent.
10/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Sakra 230kV - Jurong Island 230kV Feeder 2 on 07 Nov 2019 at 1801Hrs was without Final Approval/Consent.
10/11/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Outage of Generating Unit JUR GT2 on 04 Nov 2019 at 1931Hrs was without Final Approval/Consent.
10/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit EXON GA on 05 Nov 2019 at 0930Hrs was without Final Approval/Consent.
11/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit SKRA G1 - GASTUR11 on 09 Nov 2019 at 0001Hrs was without Final Approval.
11/11/2019,0:00,17:00,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Sakra 230kV - Jurong Island 230kV Feeder 2 on 07 Nov 2019 at 1801Hrs was without Final Approval/Consent.
11/11/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Outage of Generating Unit EXON GA on 05 Nov 2019 at 0930Hrs was without Final Approval/Consent.
11/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit JUR GT2 on 04 Nov 2019 at 1931Hrs was without Final Approval/Consent.
11/11/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Outage of Generating Unit TUASCCP4 on 08 Nov 2019 at 0900Hrs was without Final Approval/Consent.
11/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
11/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
11/11/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
11/11/2019,8:00,8:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,High-Risk Operating State commence at 08:01Hrs on 11 Nov 2019. There is a Contingency Reserve Shortfall.
11/11/2019,8:30,9:00,ExxonMobil Asia Pacific ,1.26834,103.693372,Emergency Operating State commence at 08:31Hrs on 11 Nov 2019. There is a Contingency Reserve Shortfall.
11/11/2019,10:00,10:30,PacificLight Power ,1.286848,103.722708,High-Risk Operating State commence at 10:01Hrs on 11 Nov 2019. There is a Contingency Reserve Shortfall.
11/11/2019,10:30,11:00,Keppel Merlimau Cogen ,1.282498,103.675245,Emergency Operating State commence at 10:31Hrs on 11 Nov 2019. There is a Contingency Reserve Shortfall.
12/11/2019,0:00,23:30,Keppel Merlimau Cogen ,1.282498,103.675245,Outage of Generating Unit JUR GT2 on 04 Nov 2019 at 1931Hrs was without Final Approval/Consent.
12/11/2019,0:00,23:30,Tuas Power Generation ,1.287521,103.640834,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
12/11/2019,0:00,23:30,Shell Eastern Petroleum ,1.228974,103.767913,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
12/11/2019,0:00,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
12/11/2019,0:00,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Outage of Generating Unit SKRA G1 - GASTUR11 on 09 Nov 2019 at 0001Hrs was without Final Approval.
12/11/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Outage of Generating Unit EXON GA on 05 Nov 2019 at 0930Hrs was without Final Approval/Consent.
12/11/2019,0:00,23:30,SembCorp Cogen ,1.256499,103.701611,Outage of Generating Unit TUASCCP4 on 08 Nov 2019 at 0900Hrs was without Final Approval/Consent.
13/11/2019,0:00,23:30,SembCorp Cogen ,1.256499,103.701611,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
13/11/2019,0:00,23:30,Tuaspring ,1.301691,103.623691,Outage of Generating Unit SKRA G1 - GASTUR11 on 09 Nov 2019 at 0001Hrs was without Final Approval.
13/11/2019,0:00,23:30,Tuaspring ,1.301691,103.623691,Outage of Generating Unit JUR GT2 on 04 Nov 2019 at 1931Hrs was without Final Approval/Consent.
13/11/2019,0:00,23:30,Singapore Refining Company ,1.290862,103.712448,Outage of Generating Unit EXON GA on 05 Nov 2019 at 0930Hrs was without Final Approval/Consent.
13/11/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
13/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
14/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
14/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
14/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Generating Unit SKRA G1 - GASTUR11 on 09 Nov 2019 at 0001Hrs was without Final Approval.
14/11/2019,0:00,23:30,TP Utilities ,1.266428,103.672143,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
14/11/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Outage of Generating Unit JUR GT2 on 04 Nov 2019 at 1931Hrs was without Final Approval/Consent.
14/11/2019,0:00,23:30,Tuas Power Generation ,1.287521,103.640834,Outage of Generating Unit EXON GA on 05 Nov 2019 at 0930Hrs was without Final Approval/Consent.
14/11/2019,19:00,20:30,Senoko Energy ,1.464911,103.798805,Fuel changeover test of Generating Unit SERCCP1 is anticipated to carry out on 14 Nov 2019 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 2001Hrs.
14/11/2019,19:00,20:30,YTL PowerSeraya ,1.280212,103.719584,Fuel changeover test of Generating Unit SERCCP1 was carried out and completed on 14 Nov 2019 at the following timing. Gas to Gas : From 1901Hrs - 1905Hrs. Gas to Gas : From 2009Hrs - 2012Hrs.
15/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
15/11/2019,0:00,23:30,YTL PowerSeraya ,1.280212,103.719584,Outage of Generating Unit SKRA G1 - GASTUR11 on 09 Nov 2019 at 0001Hrs was without Final Approval.
15/11/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
15/11/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
15/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit JUR GT2 on 04 Nov 2019 at 1931Hrs was without Final Approval/Consent.
15/11/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Generating Unit EXON GA on 05 Nov 2019 at 0930Hrs was without Final Approval/Consent.
15/11/2019,18:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Outage of Sakra Cogeneration Plant 230kV CB13-52 on 15 Nov 2019 at 1801Hrs was without Final Approval.
