FROM_DISPATCH_DATE,FROM_DISPATCH_PERIOD,TO_DISPATCH_DATE,TO_DISPATCH_PERIOD,CONDITION_DESCRIPTION
09-Feb-15,20,09-Feb-15,26,SPPG maintenance work on their 66kV SLNG Feeder No.1 to SLNG terminal has completed on 09 Feb 2015 at 1251Hrs. SLNG terminal is back to normal operating mode.
09-Feb-15,21,09-Feb-15,32,SPPG will be carrying out maintenance work on their 66kV SLNG Feeder No.1 to SLNG terminal on 09 Feb 2015 from 1000Hrs to 1600Hrs. SLNG terminal will be in single point failure mode.
10-Feb-15,21,10-Feb-15,32,SPPG will be carrying out maintenance work on their 66kV SLNG Feeder No.2 to SLNG terminal on 10 Feb 2015 from 1000Hrs to 1600Hrs. SLNG terminal will be in single point failure mode.
10-Feb-15,21,10-Feb-15,32,SPPG maintenance work on their 66kV SLNG Feeder No.2 to SLNG terminal has completed on 10 Feb 2015 at 1303Hrs. 
SLNG terminal is back to normal operating mode.
10-Feb-15,22,10-Feb-15,22,Outage of Senoko SwitchHouse 'C' 230kV CB4-152 and CB4-252 on 10 Feb 2015 at 1045Hrs was without Final Approval/Consent.
(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
11-Feb-15,31,11-Feb-15,33,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 is anticipated to carry out on 11 Feb 2015 from 1505Hrs to 1605Hrs.
11-Feb-15,31,11-Feb-15,33,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 was carried out on 11 Feb 2015 from 1510Hrs to 1610Hrs.

11-Feb-15,36,11-Feb-15,37,Fuel changeover test of Generating Unit KMC BLK4 is anticipated to carry out on 11 Feb 2015 at the following timing. Gas to Diesel : At about 1731Hrs. Diesel to Gas : At about 1801Hrs.
11-Feb-15,36,11-Feb-15,38,Fuel changeover test of Generating Unit KMC BLK4 was carried out and completed on 11 Feb 2015 at the following timing. Gas to Diesel : From 1741Hrs - 1751Hrs. Diesel to Gas : From 1825Hrs - 1833Hrs.
12-Feb-15,21,12-Feb-15,21,Outage of Jalan Bahar 66kV Bus Coupler No.2, B/C 2-152 on 12 Feb 2015 at 1027Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
12-Feb-15,35,12-Feb-15,35,Outage of TMUC / Banyan Drive 66kV Feeder No. 2 on 12 Feb 2015 at 1716Hrs was without Final Approval/Consent.
(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
13-Feb-15,14,13-Feb-15,35,Fuel changeover test of Generating Unit TUAS CCP2 is anticipated to carry out on 13 Feb 2015 at the following timing. Gas to Diesel : At about 0631Hrs. Diesel to Gas : At about 1701Hrs.
13-Feb-15,14,13-Feb-15,35,Fuel changeover test of Generating Unit TUAS CCP2 was carried out and completed on 13 Feb 2015 at the following timing. Gas to Diesel : From 0631Hrs - 0634Hrs. Diesel to Gas : From 1705Hrs - 1709Hrs.
13-Feb-15,18,13-Feb-15,34,ConocoPhillips Onshore Receiving Facility (ORF) will be carrying out maintenance work on 13 Feb 2015 from 0900Hrs to 1700Hrs. ConocoPhillips ORF will be in single point of failure mode. 

13-Feb-15,18,13-Feb-15,34,ConocoPhillips Onshore Receiving Facility (ORF) maintenance work has completed on 13 Feb 2015 at 15:06Hrs. ConocoPhillips ORF is back to normal operating mode. 

13-Feb-15,37,13-Feb-15,37,Outage of Marina Centre 66/22kV transformer No. 1 on 13 Feb 2015 at 1823 Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
16-Feb-15,6,16-Feb-15,6,Forced outage of generating unit KMCBLK4 at 313MW on 16 Feb 2015 at 02:41Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
16-Feb-15,19,16-Feb-15,19,High-Risk Operating State commence at 09:01Hrs on 16 Feb 2015. There is a Contingency Reserve Shortfall.
16-Feb-15,20,16-Feb-15,20,Normal operating State
16-Feb-15,24,16-Feb-15,24,Forced outage of generating unit ENV : TUASSTH : GENR1 at 16MW on 16 Feb 2015 at 11:52Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
19-Feb-15,19,22-Feb-15,36,Outage of Generating Unit TUAS CCP5 on 19 Feb 2015 at 0915Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
19-Feb-15,21,19-Feb-15,21,Forced outage of generating unit ENV : TUAS : GENR1 at 7MW on 19 Feb 2015 at 10:25Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
19-Feb-15,39,19-Feb-15,39,Forced outage of generating unit ENV : TUAS : GENR1 at 8.2MW on 19 Feb 2015 at 19:26Hrs.
20-Feb-15,12,20-Feb-15,12,Forced outage of generating unit SERCCP2 at 264MW on 20 Feb 2015 at 05:36Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
20-Feb-15,22,20-Feb-15,22,High-Risk Operating State commence at 10:31Hrs on 20 Feb 2015. There is a Contingency Reserve Shortfall.
20-Feb-15,23,20-Feb-15,23,Emergency State commence at 11:01Hrs on 20 Feb 2015. There is a Contingency Reserve Shortfall.
20-Feb-15,24,23-Feb-15,48,Outage of Generating Unit SER CCP2 on 20 Feb 2015 at 1131Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)

20-Feb-15,25,23-Feb-15,25,Normal operating State

21-Feb-15,22,21-Feb-15,22,High-Risk Operating State commence at 10:31Hrs on 21 Feb 2015. There is a Contingency Reserve  Shortfall.
21-Feb-15,23,21-Feb-15,23,Emergency State commence at 11:01Hrs on 21 Feb 2015. There is a Contingency Reserve  Shortfall.
21-Feb-15,26,21-Feb-15,26,Normal operating State
21-Feb-15,41,21-Feb-15,41,High-Risk Operating State commence at 20:01Hrs on 21 Feb 2015. There is a Contingency Reserve Shortfall.
21-Feb-15,42,21-Feb-15,42,Emergency Operating State commence at 20:31Hrs on 21 Feb 2015. There is a Contingency Reserve Shortfall.
21-Feb-15,44,21-Feb-15,44,Normal operating State
23-Feb-15,7,23-Feb-15,7,Forced outage of generating unit PACLBLK1 at 53MW on 23 Feb 2015 at 03:12Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
23-Feb-15,21,23-Feb-15,21,Forced outage of generating unit PACLBLK1 at 54MW on 23 Feb 2015 at 10:19Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
24-Feb-15,37,25-Feb-15,12,Outage of Generating Unit SKRA G2-GT12 on 24 Feb 2015 at 1801Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
25-Feb-15,37,25-Feb-15,38,Fuel changeover test of Generating Unit SER CCP2 is anticipated to carry out on 25 Feb 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1831Hrs.
25-Feb-15,37,25-Feb-15,38,Generating Unit SER CCP2 has cancelled its Fuel changeover test on 25 Feb 2015.
25-Feb-15,45,25-Feb-15,46,Fuel changeover test of Generating Unit SEMBCCP3 is anticipated to carry out on 25 Feb 2015 at the following timing. Gas to Diesel : At about 2205Hrs. Diesel to Gas : At about 2245Hrs.
25-Feb-15,45,25-Feb-15,46,Fuel changeover test of Generating Unit SEMB CCP3 was carried out and completed on 25 Feb 2015 at the following timing. Gas to Diesel : From 2204Hrs - 2215Hrs. Diesel to Gas : From 2248Hrs - 2253Hrs.
26-Feb-15,3,26-Feb-15,3,Forced outage of generating unit SNKCCP4 - CCPGT 4 at 103MW on 26 Feb 2015 at 01:09Hrs.
Forced outage of generating unit SNKCCP4 - CCPST 4 at 89MW on 26 Feb 2015 at 01:10Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
26-Feb-15,17,26-Feb-15,46,Urgent Shutdown of remaining SPPG-TNB interconnection No. 2 on 26 Feb 2015 at 0806Hrs.
26-Feb-15,29,26-Feb-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 1 was carried out on 26 Feb 2015 from 1404Hrs to 1510Hrs.
26-Feb-15,29,26-Feb-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 1 is anticipated to carry out on 26 Feb 2015 from 1401Hrs to 1501Hrs.
26-Feb-15,36,26-Feb-15,36,Forced outage of Marsiling 66kV CSM Transfomer No.2 on 26 Feb 2015 at 1746 Hrs. (The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of the Forced Outage.)
26-Feb-15,45,26-Feb-15,45,SPPG-TNB interconnection  No.2  resynchronised on 26 Feb 2015 at 2204Hrs.
27-Feb-15,36,27-Feb-15,36,Outage of Generating Unit SER CCP1 on 27 Feb 2015 at 1753Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)

27-Feb-15,37,27-Feb-15,38,Fuel changeover test of Generating Unit KMC BLK3 was carried out and completed on 27 Feb 2015 at the following timing. Gas to Diesel : From 1801Hrs - 1811Hrs. Diesel to Gas : From 1845Hrs - 1853Hrs. 
27-Feb-15,37,27-Feb-15,38,Fuel changeover test of Generating Unit KMC BLK3 is anticipated to carry out on 27 Feb 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1850Hrs.
28-Feb-15,8,28-Feb-15,8,Forced outage of Changi Airport/Paya Lebar II 66kV Feeder No. 2 on 28 Feb 2015 at 0349Hrs.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of the Forced Outage.)
28-Feb-15,43,01-Mar-15,5,Outage of Generating Unit SKRA G2-GT12 on 28 Feb 2015 at 2115Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
01-Mar-15,1,01-Mar-15,48,Outage of Generating Unit TUAS CCP3 on 01 Mar 2015 at 0001Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
02-Mar-15,24,02-Mar-15,24,Outage of Woodlands Ave 8 S/B I 230/66kV transformer No. 1 on 02 Mar 2015 at 1133Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
02-Mar-15,37,02-Mar-15,38,Fuel changeover test of Generating Unit KMC G1-GT11 is anticipated to carry out on 02 Mar 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1845Hrs.
02-Mar-15,37,02-Mar-15,38,Fuel changeover test of Generating Unit KMC G1-GT11 was carried out and completed on 02 Mar 2015 at the following timing. Gas to Diesel : From 1815Hrs - 1818Hrs. Diesel to Gas : From 1853Hrs - 1857Hrs.
04-Mar-15,37,04-Mar-15,38,Fuel changeover test of Generating Unit TUAS CCP1 is anticipated to carry out on 04 Mar 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1831Hrs.
04-Mar-15,37,04-Mar-15,38,Fuel changeover test of Generating Unit TUAS CCP1 was carried out and completed on 04 Mar 2015 at the following timing. 
Gas to Diesel : From 1801Hrs - 1804Hrs. Diesel to Gas : From 1837Hrs - 1841Hrs.
05-Mar-15,31,05-Mar-15,33,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 is anticipated to carry out on 05 Mar 2015 from 1501Hrs to 1601Hrs.
05-Mar-15,31,05-Mar-15,33,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 was carried out on 05 Mar 2015 from 1507Hrs to 1608Hrs.
05-Mar-15,41,05-Mar-15,41,Forced outage of generating unit SERCCP2 at 257MW on 05 Mar 2015 at 20:02Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
05-Mar-15,41,05-Mar-15,42,Generating Unit SER CCP 2 did not complete the Fuel changeover test on 05 Mar 2015
05-Mar-15,41,05-Mar-15,42,Fuel changeover test of Generating Unit SER CCP 2 is anticipated to carry out on 05 Mar 2015 at the following timing. Gas to Diesel : At about 2001Hrs. Diesel to Gas : At about 2031Hrs.
06-Mar-15,39,06-Mar-15,40,Fuel changeover test of Generating Unit TUAS CCP5 is anticipated to carry out on 06 Mar 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 1931Hrs.

06-Mar-15,39,06-Mar-15,40,Fuel changeover test of Generating Unit TUAS CCP5 was carried out and completed on 06 Mar 2015 at the following timing. Gas to Gas : From 1901Hrs - 1905Hrs. Gas to Gas : From 1936Hrs - 1939Hrs.
07-Mar-15,22,07-Mar-15,23,Fuel changeover test of Generating Unit SNK CCP1-GT12 is anticipated to carry out on 07 Mar 2015 at the following timing. Gas to Gas : At about 1031Hrs. Gas to Gas : At about 1101Hrs.
07-Mar-15,22,07-Mar-15,23,Fuel changeover test of Generating Unit SNK CCP1-GT12 was carried out and completed on 07 Mar 2015 at the following timing. Gas to Gas : From 1050Hrs - 1053Hrs. Gas to Gas : From 1123Hrs - 1127Hrs.
11-Mar-15,17,11-Mar-15,35,Outage of Generating Unit SNK CCP2-GT22 on 11 Mar 2015 at 0801Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
11-Mar-15,37,11-Mar-15,38,Fuel changeover test of Generating Unit TUAS CCP3 is anticipated to carry out on 11 Mar 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1831Hrs.
11-Mar-15,37,11-Mar-15,38,Fuel changeover test of Generating Unit TUAS CCP3 was carried out and completed on 11 Mar 2015 at the following timing. Gas to Diesel : From 1801Hrs - 1804Hrs. Diesel to Gas : From 1838Hrs - 1842Hrs                                               

12-Mar-15,18,13-Mar-15,34,ConocoPhillips Onshore Receiving Facility (ORF) maintenance work has completed on 13 Mar 2015 at 1325Hrs. ConocoPhillips ORF is back to normal operating mode.
12-Mar-15,18,13-Mar-15,34,ConocoPhillips Onshore Receiving Facility (ORF) will be carrying out maintenance work on the 12 Mar 2015 & 13 Mar 2015 from 0900Hrs to 1700Hrs. ConocoPhillips ORF will be in single point of failure mode.  
13-Mar-15,37,13-Mar-15,38,Fuel changeover test of Generating Unit TUAS CCP4 was carried out and completed on 13 Mar 2015 at the following timing. Diesel to Gas : From 1801Hrs - 1805Hrs. Gas to Diesel : From 1836Hrs - 1841Hrs
